Date, Open, High, Low,Close, Volume
02/18/19,26,26.9,25.9,26.05,10594400
02/15/19,27,27,26,26.1,1611300
02/14/19,26.85,26.85,25.95,26.45,12160700
02/13/19,26.9,27,26.05,26.9,5822600
02/12/19,27,27,26.8,26.9,7061000
02/11/19,26.85,26.95,26.5,26.8,12201400
02/08/19,27,27,26.5,26.85,22906699
02/07/19,27,27.1,26.9,27.05,12456800
02/06/19,26.55,27.2,26.5,26.9,19635000
02/05/19,26.15,27,26.1,26.5,20158100
02/04/19,25.5,26.25,25.5,26,10610100
02/01/19,24,25.6,24,25.5,14811400
01/31/19,23.6,24.5,23.6,23.85,61100699
01/30/19,23.5,24,23.4,23.7,12467800
01/29/19,23.5,23.6,23.05,23.45,7797300
01/28/19,23.5,23.75,23.35,23.45,23039500
01/25/19,23.45,23.65,23.15,23.45,14283100
01/24/19,23.2,23.4,23.05,23.2,4049200
01/23/19,23.3,23.45,23.05,23.25,2765100
01/22/19,23.5,23.5,23.05,23.3,3853600
01/21/19,23.7,23.7,23.05,23.5,20871500
01/18/19,23.75,23.95,23.5,23.7,28005000
01/17/19,23.9,24,23.55,23.75,5577100
01/16/19,23.8,24.3,23.7,23.8,14056700
01/15/19,23.5,23.8,23.5,23.5,21628801
01/14/19,23.6,23.65,23.25,23.5,22014500
01/11/19,23,23.75,22.8,23.4,4875800
01/10/19,22.4,24,22.4,23,24914801
01/09/19,22.2,22.75,22.15,22.3,21758400
01/08/19,21.8,22.2,21.5,22,1532800
01/07/19,21.3,21.8,21.3,21.45,6283800
01/04/19,22,22,21,21.3,2210300
01/03/19,22.25,22.5,21.8,22.15,12255400
01/02/19,23,23,22.2,22.25,1778300
12/31/18,22.8,22.8,22.1,22.2,3679200
12/28/18,23,23,22.8,22.85,1269100
12/27/18,23,23,22.55,22.6,1778700
12/24/18,22.55,23.5,22.5,22.6,730100
12/21/18,22.3,23.25,22.2,22.3,5637600
12/20/18,22.9,22.9,22.35,22.45,19301301
12/19/18,23,23.05,22.5,22.9,8363600
12/18/18,23,23.1,22.8,23,17097500
12/17/18,22.95,23.25,22.5,23,6178300
12/14/18,22.25,23.25,22.25,22.9,29994100
12/13/18,23,23,21.9,22.15,22202199
12/11/18,23,23,21.9,22.05,21143400
12/10/18,23,23,22.6,22.65,13202600
12/07/18,23.4,23.4,22.8,23,12989200
12/06/18,23.5,23.6,23.3,23.4,4442000
12/05/18,23.5,23.75,23.5,23.65,1769900
12/04/18,23.75,23.75,23.5,23.6,3485800
12/03/18,23.75,23.8,23.55,23.75,2723900
11/30/18,23.75,24,23.75,23.8,15243600
11/29/18,24,24,23.5,23.75,10756400
11/28/18,24,24,23.75,23.8,16748100
11/27/18,24,24,23.75,23.8,27426600
11/26/18,23.75,24,23.6,23.8,10791300
11/23/18,24,24,23.75,23.75,2451000
11/22/18,23.75,24,23.75,23.75,683000
11/21/18,23.5,24,23.5,23.75,7003500
11/20/18,23.75,24,23.5,23.5,4664500
11/19/18,23.75,24,23.5,23.5,2172700
11/16/18,24,24.25,23.5,23.75,7079300
11/15/18,24,24,23.5,23.75,15069000
11/14/18,24.5,24.5,23.75,24,8868800
11/13/18,24.25,24.5,24,24.25,12009100
11/12/18,24,24.5,23.75,24.25,102963000
11/09/18,23.75,24.75,23.5,24.25,10310900
11/08/18,23.25,23.75,23.25,23.25,9482300
11/07/18,23,23.5,22.5,22.75,8627800
11/06/18,23.5,24,22.5,22.5,5447100
11/05/18,24.5,24.5,23,23.75,4705300
11/02/18,23.75,25,23.75,24.5,4152400
11/01/18,23.75,23.75,23,23.5,47502801
10/31/18,24,24,23.25,23.25,4661300
10/30/18,23.75,24,23.25,23.5,22059900
10/29/18,23.5,24,23.5,23.5,9428000
10/26/18,23.75,23.75,23.5,23.5,6974000
10/25/18,23.75,23.75,23.25,23.5,9827300
10/24/18,23.75,23.75,23.25,23.5,3622800
10/23/18,24,24,23.25,23.75,4292400
10/22/18,23.75,24.5,23.5,23.75,6414400
10/19/18,23.5,23.75,23,23.75,14026700
10/18/18,23.75,24.25,23,23.5,12332700
10/17/18,23.75,24.25,23.75,23.75,4369700
10/16/18,23,24,22.5,23.5,13366800
10/15/18,23,23.5,21.75,22.25,8478900
10/12/18,24,24,22.75,23,7611000
10/11/18,25,25,23.5,24,7960800
10/09/18,24.75,25,24.25,24.5,3526500
10/08/18,24.75,25,24.5,24.5,4292000
10/05/18,24.5,25,24.5,24.75,12411100
10/04/18,24.25,24.75,24.25,24.5,21580199
10/03/18,24.5,24.5,24.25,24.25,5158800
10/02/18,24,24.75,24,24.25,13927300
10/01/18,24.5,25,24,24,2902300
09/28/18,25,25,24,24.5,5979700
09/27/18,24.75,25,24.5,24.75,14903000
09/26/18,25,25,24.5,24.75,2701500
09/25/18,25,25.25,24.75,24.75,7497500
09/24/18,24.5,26,24.5,25,23273801
09/21/18,25,25.25,23.75,24,19410000
09/20/18,25.5,25.75,24.5,24.75,9358300
09/19/18,27,27.25,25.75,26.5,9364500
09/18/18,26.5,27.25,26.5,26.75,7266500
09/17/18,26.5,26.75,26.25,26.5,5165700
09/14/18,26.25,26.75,26.25,26.5,9138100
09/13/18,27,27.25,25.75,26.25,12514200
09/12/18,27,27.25,26.75,27,6191100
09/11/18,27.25,27.75,27,27,2355600
09/10/18,27.75,27.75,27.25,27.25,773100
09/07/18,28,28,27.26,27.5,6802300
09/06/18,28.25,28.25,27.5,27.75,4172000
09/05/18,28.5,28.5,27.5,27.75,5440200
09/04/18,27.75,29,27.75,28.25,5216300
09/03/18,28,28,27,27.75,1732800
